l_mean,l_std,t_mean,t_std,count,class
1216.9449999999999,397.17993590111274,0.012187557603845644,0.01561491860093968,132,0
1218.6900000000001,393.04041489227728,0.010498662689822403,0.015106620722396729,122,0
429.11000000000001,11.342006239093601,0.02322492048368981,0.0016442535154242563,186,0
1282.8050000000001,329.21958424164444,0.0081368439161597778,0.013730569615537038,97,0
1306.7049999999999,322.06629982413881,0.0066015876118262207,0.012539933945115085,77,0
1285.2249999999999,351.38456130658773,0.0074628393853729096,0.012965431555250281,82,0
429.94499999999999,19.893484577700715,0.023222763933728088,0.0023883004834088662,189,0
1220.585,400.27139382997751,0.0092792870411321747,0.014103578877732602,92,0
430.27999999999997,33.560888938340987,0.023198491963908899,0.0016858575088404067,199,0
1111.53,419.62272969464112,0.015932960126867245,0.016195716079352194,128,0
1349.3199999999999,282.68544871388917,0.0045522469372006515,0.0099466564675201319,55,0
1307.3099999999999,326.53754414874481,0.0067727781420377029,0.01249976238418069,80,0
1311.155,328.15655501298454,0.0069083676266310798,0.012537767191534778,82,0
430.26499999999999,33.466322605624278,0.023212738372572702,0.0028996568848637491,195,0
1307.4000000000001,338.1998160524181,0.0060989653045807656,0.011751268811566743,73,0
1217.3299999999999,362.56451319890061,0.013693186505955069,0.015669188851970436,125,0
429.06,35.312480177430288,0.023245652117321838,0.0016306795761044208,196,0
1288.04,331.52708704906172,0.010155194967835393,0.014591440748955842,103,0
1250.49,398.67642816181058,0.0086101658979252961,0.013666609114038405,103,0
1256.4549999999999,372.19479145864568,0.0093160262658967437,0.014177547954997705,96,0
430.02499999999998,34.090838967492978,0.023220838613845596,0.0015080120008080895,197,0
1286.0699999999999,328.28850392458946,0.0084362964534280289,0.01350207147140018,85,0
1227.6600000000001,367.09899586326725,0.012185823977293082,0.015190842132139067,122,0
429.11500000000001,41.040019382972687,0.023218969603878769,0.0021198390292608477,194,0
1318.45,331.05588272591865,0.0059229992142873795,0.011623794271834393,68,0
1239.5999999999999,385.73824019631337,0.010477949027440057,0.014736182806677505,113,0
429.97000000000003,22.265846934228492,0.023206516725933133,0.0016199527344611464,190,0
1213.6400000000001,398.43898973709082,0.010808703887402711,0.015063631396838712,125,0
1256.45,339.69527802068097,0.010322522877448767,0.01460968304911254,121,0
1330.9649999999999,312.19119218419166,0.0045668096398588402,0.010002285363388794,57,0
429.58499999999998,18.027694356713937,0.023254950441906799,0.0013574748749843534,187,0
1277.375,361.69314901616002,0.0078233462482241532,0.013180274654239868,89,0
1303.6500000000001,323.27749565347085,0.0067679750260396217,0.012372822825114496,75,0
431.54500000000002,30.180661634288555,0.023216517127338965,0.0017277345898769954,195,0
1066.845,437.5182993732173,0.016870176372815616,0.016166213667691127,141,0
1298.2550000000001,323.9791077931294,0.007787330665780072,0.013236034969876366,72,0
1312.395,331.75055558454346,0.0059175072003848587,0.011668175346635324,71,0
429.97000000000003,32.355113457290962,0.023224597001195554,0.0022023780672209025,197,0
1300.4649999999999,340.86873757545061,0.0067703460329142052,0.012275538816664607,80,0
1325.5350000000001,299.71580973989381,0.0064331059479833252,0.011898625425288519,76,0
1242.585,367.25238507970738,0.010834297343115112,0.014786430788810947,105,0
429.125,34.713173248565518,0.023220412096186499,0.0017455227710975734,195,0
1244.04,362.69432621886546,0.012699508187758862,0.015504654236840821,121,0
1294.2750000000001,339.78856768385134,0.0079298091294178405,0.012992549316325748,94,0
429.13999999999999,34.818414812427221,0.023219331425039014,0.0019781736618949813,196,0
1259.385,380.18303813747025,0.0087705173684124969,0.013812506386161535,97,0
1261.5450000000001,358.18892291287773,0.0094767275767110703,0.014256174648525133,92,0
1253.3099999999999,344.74682852623096,0.011494422078731671,0.015192829048564253,109,0
429.11000000000001,32.942433419496957,0.023223809860459525,0.0015696064747449845,197,0
1318.45,331.05588272591865,0.0058434021532835076,0.01157435205060083,68,0
1239.5999999999999,385.73824019631337,0.010472905096696249,0.014763420224827328,113,0
429.97000000000003,22.265846934228492,0.023118124535335367,0.0021417095102932017,190,0
1213.6400000000001,398.43898973709082,0.010851512602226219,0.015172384453656372,125,0
1256.45,339.69527802068097,0.01029745777647699,0.014633752574866999,121,0
1330.9649999999999,312.19119218419166,0.0045970852051548028,0.009935789378847067,57,0
429.58499999999998,18.027694356713937,0.023221181265672845,0.0015261200546147328,187,0
