l_mean,l_std,t_mean,t_std,count,class
1506.8,101.82337649086287,0.00052906520402611198,0.00064181941930884791,1,2
1514.0,0.0,0.00047792981018373118,0.00043188345346522727,0,2
1514.0,0.0,0.00046168260238877492,0.0003304001837608207,0,2
1514.0,0.0,0.00052974331918074255,0.00064121835979965907,0,2
1514.0,0.0,0.00046294418411638269,0.000326566847999559,0,2
1514.0,0.0,0.0004840304504087822,0.00035801279427839149,0,2
1514.0,0.0,0.00047740744585966945,0.00034003500160803638,0,2
1514.0,0.0,0.00047664306870656996,0.00034406295264320826,0,2
1514.0,0.0,0.0004904210267953537,0.00037544206724575717,0,2
1514.0,0.0,0.00050488908087188873,0.00034914216596015961,0,2
1514.0,0.0,0.00049888428731180315,0.00044898074693295334,0,2
1514.0,0.0,0.00050614587026624823,0.0003899688830372428,0,2
1514.0,0.0,0.00049245776842586956,0.00032796853631622769,0,2
1514.0,0.0,0.00052558357392124195,0.00052352146676042631,0,2
1514.0,0.0,0.00053318541253631439,0.00058223492740144562,0,2
1514.0,0.0,0.00052342822204283132,0.00052033218644261068,0,2
1514.0,0.0,0.0004839142363275116,0.00032253487138011891,0,2
1514.0,0.0,0.00055230083178036174,0.0005589666459545773,0,2
1514.0,0.0,0.00047771295710424681,0.00031537386062294414,0,2
1514.0,0.0,0.00048431679232036648,0.00032561651376085009,0,2
1514.0,0.0,0.00047891942699949947,0.00032968747113062556,0,2
1514.0,0.0,0.00048541663280084505,0.00032941335497650752,0,2
1514.0,0.0,0.0004846989808969162,0.00034923007087203092,0,2
1514.0,0.0,0.00053404443827106724,0.00057874109936731323,0,2
1514.0,0.0,0.00053921536584595336,0.00059704232784485944,0,2
1514.0,0.0,0.00056959276822344141,0.00055715057435809501,0,2
1514.0,0.0,0.00056204484335741205,0.00048004834306335437,0,2
1514.0,0.0,0.00057723174742118797,0.0005418608607912843,0,2
1514.0,0.0,0.00054250769878751669,0.00039682213653922103,0,2
1514.0,0.0,0.0005339449973561656,0.00034096205196509222,0,2
1514.0,0.0,0.00053572415107458677,0.00035443504380290749,0,2
1514.0,0.0,0.00053084915007778149,0.00032287374201995356,0,2
1514.0,0.0,0.00055890945932972975,0.00049804346522952102,0,2
1514.0,0.0,0.00058144181217979546,0.00055658981739019721,0,2
1514.0,0.0,0.00057456721013514843,0.00054919870268077401,0,2
1514.0,0.0,0.00059768901997475166,0.00060271596044565343,0,2
1514.0,0.0,0.00056549652137948046,0.00050962732792511601,0,2
1514.0,0.0,0.00056052687180102167,0.0004540489693223274,0,2
1514.0,0.0,0.00053795018986840944,0.00036423902475315767,0,2
1514.0,0.0,0.00054356321018544874,0.00036218394408560486,0,2
1514.0,0.0,0.000518587965462076,0.00032304244851471094,0,2
1514.0,0.0,0.00056768901384056511,0.00052606965335634808,0,2
1514.0,0.0,0.00057701010200845537,0.00056354765702999754,0,2
1514.0,0.0,0.00058010954353677569,0.00055625255868307921,0,2
1514.0,0.0,0.00056323693625291986,0.00050563547800025531,0,2
1514.0,0.0,0.00053140625881789322,0.00032241008653398627,0,2
1514.0,0.0,0.00057330083607429238,0.00049301711582651288,0,2
1514.0,0.0,0.00054716105437158937,0.00042904188614569519,0,2
1514.0,0.0,0.00052716624197648402,0.00030969755047492188,0,2
1514.0,0.0,0.00053511552475205622,0.00034391726918636385,0,2
1514.0,0.0,0.0005557033883866353,0.00048123009568266413,0,2
1514.0,0.0,0.00059760395605959482,0.00062703295451231871,0,2
1514.0,0.0,0.00057815666773810464,0.0005679726894771553,0,2
1514.0,0.0,0.00057742224266780682,0.00055472008207686221,0,2
1514.0,0.0,0.00052409555444765329,0.00031102951423459045,0,2
1514.0,0.0,0.00056271337384554605,0.00046377510921006811,0,2
1514.0,0.0,0.0005552708803109787,0.00049900339075052149,0,2
1514.0,0.0,0.00051777326880986967,0.00029869287370977882,0,2
1514.0,0.0,0.0005098395611173544,0.00028151241765077544,0,2
1514.0,0.0,0.00055274412260582695,0.00044605181426140205,0,2
1514.0,0.0,0.00057729165158679143,0.00056104551474767345,0,2
1514.0,0.0,0.00058945219720428314,0.00058949704599034589,0,2
1514.0,0.0,0.00054275450394980268,0.0004018075872308744,0,2
1514.0,0.0,0.00056661792735957623,0.0005137225602620686,0,2
1514.0,0.0,0.00051919060136804628,0.00030750038260596822,0,2
1514.0,0.0,0.00057038230512609434,0.000505332309818706,0,2
1514.0,0.0,0.00053178964547775497,0.00034396890380549317,0,2
1514.0,0.0,0.00057499013354430847,0.00070901843570830988,0,2
1514.0,0.0,0.00060918103510410938,0.00074520307774365228,0,2
1514.0,0.0,0.00058027607711715317,0.00055907322089024998,0,2
1514.0,0.0,0.00057975850512633972,0.00056964315438964299,0,2
1514.0,0.0,0.00058013590136964121,0.0005261807244022977,0,2
1514.0,0.0,0.00053253844754779758,0.00035210075223328813,0,2
1514.0,0.0,0.00056700011593612595,0.00048203578881391844,0,2
1514.0,0.0,0.00056990906221782742,0.00051578136655863131,0,2
1514.0,0.0,0.0005358595344888505,0.00033308112362248225,0,2
1514.0,0.0,0.00052268421230603705,0.00031112728864263808,0,2
1514.0,0.0,0.00058706082291339512,0.00052627828186826194,0,2
1514.0,0.0,0.00062016027057590199,0.00068798306103365608,0,2
1514.0,0.0,0.00053276847954371472,0.00032978940601705563,0,2
1514.0,0.0,0.00057318701815964584,0.00056231252588500582,0,2
1514.0,0.0,0.00053609076456807966,0.00035009940571655522,0,2
1514.0,0.0,0.00054058717123827143,0.00040722168723810164,0,2
1514.0,0.0,0.00057134676219230919,0.00050256203294520745,0,2
1514.0,0.0,0.00054363269901754865,0.00033648898930293116,0,2
1514.0,0.0,0.00055235115127946863,0.00038776523984479874,0,2
1514.0,0.0,0.000584422643460221,0.00056644967127589144,0,2
1514.0,0.0,0.00059964309385673485,0.00057681261502706715,0,2
1514.0,0.0,0.00057291026091455812,0.00047807569529632367,0,2
1514.0,0.0,0.00055259795644175462,0.00039505646291240027,0,2
1514.0,0.0,0.00063253766927287808,0.00070655551289537395,0,2
1514.0,0.0,0.00057461872771756735,0.00036604629151974576,0,2
1514.0,0.0,0.0005434925232700367,0.0003351742312682251,0,2
1514.0,0.0,0.0005304573768347352,0.00031495072604380888,0,2
1514.0,0.0,0.00057515067670812559,0.00038526414364271162,0,2
1514.0,0.0,0.00059780882830595846,0.00060229383683460037,0,2
1514.0,0.0,0.00059953287019202462,0.00054136280350557738,0,2
1514.0,0.0,0.00057557839245053397,0.00054476683037413666,0,2
1514.0,0.0,0.00052374811028715353,0.00032093344721116803,0,2
1514.0,0.0,0.00056797535575214939,0.00053521089275448638,0,2
1514.0,0.0,0.0005397688803361289,0.00036577407030937163,0,2
1514.0,0.0,0.00053315546045351267,0.00033300006288745622,0,2
1514.0,0.0,0.00052709555506107197,0.00031192400988400859,0,2
1514.0,0.0,0.00053115585940567093,0.0003260909077813983,0,2
1514.0,0.0,0.00057157799227153835,0.00056669551517785337,0,2
1514.0,0.0,0.00058285435240472384,0.00058006181016583653,0,2
1514.0,0.0,0.00054792063919144058,0.00044353305660385417,0,2
1514.0,0.0,0.0005827585057397584,0.00056540658827418562,0,2
1514.0,0.0,0.00054188948779848947,0.00038993531040219234,0,2
1514.0,0.0,0.00055209955378393431,0.00041835647757488382,0,2
1514.0,0.0,0.00052368820612155018,0.0003171161775332143,0,2
1514.0,0.0,0.00053263788846269922,0.00032558403127853284,0,2
1514.0,0.0,0.00053677846438920679,0.00032800545857239482,0,2
1514.0,0.0,0.0006451307229660264,0.0005649392832289405,0,2
1514.0,0.0,0.00059853726295969591,0.00053931489673159831,0,2
1514.0,0.0,0.00059481362002578812,0.0006029675680555936,0,2
1514.0,0.0,0.00056908597898243656,0.00053202422326064996,0,2
1514.0,0.0,0.00053464827226034955,0.00032647400098447047,0,2
1514.0,0.0,0.00054880841892568312,0.00044900330675931973,0,2
1514.0,0.0,0.00060032240709467744,0.00038871323054707671,0,2
1514.0,0.0,0.00054395977576174326,0.00029941280231400894,0,2
1514.0,0.0,0.00051379802838042755,0.00028771528709171045,0,2
1514.0,0.0,0.0005950999619373724,0.00063114614112669254,0,2
1514.0,0.0,0.00057218062817750864,0.00052969104232522199,0,2
1514.0,0.0,0.00058604604634807339,0.00057480248330790153,0,2
1514.0,0.0,0.00057490506962915163,0.00052599043865441417,0,2
1514.0,0.0,0.00057360395115224562,0.00053258387333010061,0,2
1514.0,0.0,0.00053805562119987145,0.00034344669605307538,0,2
1514.0,0.0,0.00052678884573318253,0.00031785172234164929,0,2
1514.0,0.0,0.00053355681836305552,0.00033117224870411196,0,2
1514.0,0.0,0.00053006081125844069,0.00034581893008292367,0,2
1514.0,0.0,0.00061632161164403563,0.00068388216173988876,0,2
1514.0,0.0,0.00060723175355537453,0.00065520388296478704,0,2
1514.0,0.0,0.00052719619405928563,0.00036520588354437206,0,2
1514.0,0.0,0.00056121576970546093,0.00049813289472892277,0,2
1514.0,0.0,0.00055986912406269626,0.00047103269271350616,0,2
1514.0,0.0,0.00053322614736892471,0.00033297789258662503,0,2
1514.0,0.0,0.00053278405462677154,0.00032580609378640105,0,2
1514.0,0.0,0.00056327168066896982,0.0003255564163499671,0,2
1514.0,0.0,0.00054950210916337062,0.00039072371837243293,0,2
1514.0,0.0,0.00061063790441158428,0.00066569451676173831,0,2
1514.0,0.0,0.0005669294290207139,0.00051392716368939511,0,2
1514.0,0.0,0.00061960795416903859,0.0006081174652840521,0,2
1514.0,0.0,0.00060835196145215826,0.00062906845913500474,0,2
1514.0,0.0,0.00052960793576647893,0.0003172411247389761,0,2
1514.0,0.0,0.00053395937435591039,0.00033973304535543305,0,2
1514.0,0.0,0.00053730681912982883,0.00031260673653231116,0,2
1514.0,0.0,0.00054935714108261032,0.00034513016413790045,0,2
1514.0,0.0,0.0005221810173149684,0.00031113925010666557,0,2
1514.0,0.0,0.000576898680260433,0.00056307524268244392,0,2
1514.0,0.0,0.00063136234954373923,0.00071141850773581597,0,2
1514.0,0.0,0.00054860833901256771,0.00041271719196823645,0,2
1514.0,0.0,0.0005244118484420393,0.00030916559761935399,0,2
1514.0,0.0,0.00055425131141240873,0.0004351317441466061,0,2
1514.0,0.0,0.00054484995166260996,0.00045012689777860603,0,2
